Image,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y,area,angle_from_180
{1},283.8797302246115,140.9461364746113,346.58111572265835,138.60108947753687,348.90203857421614,201.44328308105221,286.3486328124982,203.38346862793153,3928.096590911944,177.85812227373162
{2},283.87704467773415,140.8784332275388,346.58712768554636,138.5955963134771,348.969665527344,201.44119262695335,286.34863281250074,203.38346862792898,3932.710939898323,177.91518072358923
{3},283.8651733398414,140.8066558837869,346.58709716796665,138.5947570800804,348.9664306640645,201.3563385009784,286.3653869628929,203.39530944823974,3932.501437026516,177.98029203460825
{4},283.8621215820325,140.730178833009,346.5872497558605,138.59829711913937,348.9633789062486,201.27575683593616,286.36569213867057,203.40330505371236,3932.5182558079177,178.0533985784885
{5},294.45901489258085,121.19790649414374,359.4479064941435,124.69071197509504,355.43560791015364,190.1991882324189,291.5184326171846,186.53359985351824,4229.094685255401,183.0763820823753
{6},327.818328857419,124.06507110595167,391.68130493163557,142.36315917969034,372.94650268554966,206.55249023438014,309.64834594727074,188.46109008788775,4423.5012546153885,195.9881232809437
{7},360.01577758788994,141.5881042480442,418.78576660155915,175.48760986328216,384.3942260742196,234.24992370605787,325.93038940429966,200.41824340820236,4605.959181582322,209.9770622273186
{8},384.1153259277342,163.9863739013575,434.0247497558491,212.23295593261736,385.53121948242205,262.37127685547756,335.8304443359471,213.64527893066392,4831.418454207167,224.02945618606162
{9},399.2245178222656,186.02813720703116,437.44757080078045,246.0116729736326,377.39721679687506,284.18203735351545,339.2254333496094,223.99105834960938,5060.768227859604,237.4936638821883
{10},408.0499267578118,208.3507232666031,431.7648925781263,277.3029174804694,362.89367675781307,301.01281738281125,339.13122558593636,231.87994384765568,5317.38036113327,251.02019273497058
{11},411.23159790038835,224.82492065429994,421.4237976074253,298.48962402344006,347.70089721679943,308.7307739257778,337.6027526855429,234.75099182128605,5541.21813034689,262.12260617993223
{12},412.2077636718668,238.52998352051526,408.2878417968823,314.38510131836745,332.4131774902424,310.43869018553966,336.44873046874267,234.444610595695,5772.337979971424,272.9582101010182
{13},411.55151367187614,249.5482330322259,394.33831787109256,324.9468994140606,318.96563720702966,307.67687988281347,336.279052734376,232.1818389892594,5981.820472140746,282.8599902019517
{14},410.5667724609449,257.89883422851244,381.73019409179363,330.84783935546136,308.7138061523373,302.33499145508085,337.4530944824248,229.0696563720769,6166.957001068178,291.568776256411
{15},408.98645019530665,264.9125366210954,369.71115112304864,334.1924743652406,300.49752807617784,295.1304626464827,339.6343078613266,225.7204895019477,6338.434271350496,299.54921518815354
{16},407.1791992187489,270.79241943359386,358.7788391113283,335.24990844726676,294.2355041503926,287.26803588867165,342.4219360351559,222.66134643554437,6492.829138756315,306.90244900342105
{17},405.357269287098,275.38806152343795,350.0667114257817,335.07357788086966,290.2712402343854,280.2175903320308,345.37939453124955,220.28199768065252,6616.772332953071,312.81093556355336
{18},403.0644836425655,279.6269531249993,341.5694274902335,333.9019165039203,286.99456787110853,272.7302856445321,348.49813842773517,218.12542724607957,6742.976185938423,318.568676560511
{19},400.5738525390735,283.2424011230486,333.8425292968767,332.26107788084835,284.7835083007697,265.6039123535139,351.4968872070297,216.51530456544035,6856.819565025682,323.70019710255536
{20},398.1017761230423,286.1082763671864,327.34320068359284,330.1855773925819,283.2544860839884,259.58328247070403,353.99423217773546,215.3653717040973,6946.853956383151,328.08018056506336
