Image,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y,area,angle_from_180
{1},387.4999694824218,228.99642944334968,466.50357055663056,308.0000305175781,387.5000305175781,387.00357055665035,308.4964294433694,307.9999694824219,12483.128321394273,225.00000000000713
{2},387.4999694824218,228.99642944334968,466.50357055663056,308.0000305175781,387.5000305175781,387.00357055665035,308.4964294433694,307.9999694824219,12483.128321394273,225.00000000000713
{3},387.4999694824218,228.99642944334968,466.50357055663056,308.0000305175781,387.5000305175781,387.00357055665035,308.4964294433694,307.9999694824219,12483.128321394273,225.00000000000713
{4},387.4999694824218,228.99642944334968,466.50357055663056,308.0000305175781,387.5000305175781,387.00357055665035,308.4964294433694,307.9999694824219,12483.128321394273,225.00000000000713
{5},387.4999694824218,228.99642944334968,466.50357055663056,308.0000305175781,387.5000305175781,387.00357055665035,308.4964294433694,307.9999694824219,12483.128321394273,225.00000000000713
{6},387.4999694824218,228.99642944334968,466.50357055663056,308.0000305175781,387.5000305175781,387.00357055665035,308.4964294433694,307.9999694824219,12483.128321394273,225.00000000000713
{7},387.4999694824218,228.99642944334968,466.50357055663056,308.0000305175781,387.5000305175781,387.00357055665035,308.4964294433694,307.9999694824219,12483.128321394273,225.00000000000713
{8},387.4999694824218,228.99642944334968,466.50357055663056,308.0000305175781,387.5000305175781,387.00357055665035,308.4964294433694,307.9999694824219,12483.128321394273,225.00000000000713
{9},387.4999694824218,228.99642944334968,466.50357055663056,308.0000305175781,387.5000305175781,387.00357055665035,308.4964294433694,307.9999694824219,12483.128321394273,225.00000000000713
{10},387.4999694824218,228.99642944334968,466.50357055663056,308.0000305175781,387.5000305175781,387.00357055665035,308.4964294433694,307.9999694824219,12483.128321394273,225.00000000000713
{11},387.4999694824218,228.99642944334968,466.50357055663056,308.0000305175781,387.5000305175781,387.00357055665035,308.4964294433694,307.9999694824219,12483.128321394273,225.00000000000713
{12},387.4999694824218,228.99642944334968,466.50357055663056,308.0000305175781,387.5000305175781,387.00357055665035,308.4964294433694,307.9999694824219,12483.128321394273,225.00000000000713
{13},387.9999694824219,229.4964294433577,467.00354003906045,308.50000000000006,387.9999694824219,387.5035705566423,308.9963989257834,308.49999999999994,12483.128321396172,225.00000000000136
{14},387.9999694824219,229.4964294433577,467.00354003906045,308.50000000000006,387.9999694824219,387.5035705566423,308.9963989257834,308.49999999999994,12483.128321396172,225.00000000000136
{15},397.4746093750002,237.50721740721497,477.0393676757681,320.09686279296835,394.0032958984372,398.087585449232,316.05252075196455,314.20849609375045,12935.883747813052,226.06869230957216
{16},397.4746093750002,237.50721740721497,477.0393676757681,320.09686279296835,394.0032958984372,398.087585449232,316.05252075196455,314.20849609375045,12935.883747813052,226.06869230957216
{17},399.27072143554585,239.55090332033635,476.0892639160405,324.40646362304847,391.0092468261733,399.61953735348976,315.70556640622635,313.70593261718585,12880.400773397101,227.84590070410843
{18},399.27072143554585,239.55090332033635,476.0892639160405,324.40646362304847,391.0092468261733,399.61953735348976,315.70556640622635,313.70593261718585,12880.400773397101,227.84590070410843
{19},399.27072143554585,239.55090332033635,476.0892639160405,324.40646362304847,391.0092468261733,399.61953735348976,315.70556640622635,313.70593261718585,12880.400773397101,227.84590070410843
{20},399.8990173339843,241.04450988769491,473.05773925781335,328.15222167968756,385.75888061523443,399.7151184082025,314.1256713867186,311.79364013671875,12724.580251035797,229.97427467676562
{21},401.06436157226807,243.25564575193462,470.2208251952927,332.7410583496066,380.5530090332002,400.3231811523647,312.8526611328312,310.1863708496121,12590.028413251137,232.3022939943703
{22},401.06436157226807,243.25564575193462,470.2208251952927,332.7410583496066,380.5530090332002,400.3231811523647,312.8526611328312,310.1863708496121,12590.028413251137,232.3022939943703
{23},401.6533203124927,245.13375854496476,466.2306518555132,336.84594726563324,374.377471923836,399.93630981440924,311.1814575194901,307.684783935539,12398.703162658378,234.84946287950945
{24},401.6533203124927,245.13375854496476,466.2306518555132,336.84594726563324,374.377471923836,399.93630981440924,311.1814575194901,307.684783935539,12398.703162658378,234.84946287950945
{25},401.9036254882858,246.8651580810338,462.0443725585739,340.4810180664017,368.20355224608926,399.12747192384785,309.46392822267745,305.15631103516125,12211.348357980125,237.28247958526833
{26},401.9036254882858,246.8651580810338,462.0443725585739,340.4810180664017,368.20355224608926,399.12747192384785,309.46392822267745,305.15631103516125,12211.348357980125,237.28247958526833
{27},402.0175781249907,248.56483459476243,457.9418334961327,343.9145812988387,362.55776977540035,398.3781433105106,307.76266479488527,302.9323120117087,12057.995327557932,239.60764869727655
{28},402.0175781249907,248.56483459476243,457.9418334961327,343.9145812988387,362.55776977540035,398.3781433105106,307.76266479488527,302.9323120117087,12057.995327557932,239.60764869727655
{29},402.0175781249907,248.56483459476243,457.9418334961327,343.9145812988387,362.55776977540035,398.3781433105106,307.76266479488527,302.9323120117087,12057.995327557932,239.60764869727655
{30},402.0281066894473,250.1618804931834,453.57226562502075,346.92337036133466,356.79333496094324,397.31240844724704,306.2491149902142,300.3814086913998,11891.997203852072,241.95608861925786
{31},402.0281066894473,250.1618804931834,453.57226562502075,346.92337036133466,356.79333496094324,397.31240844724704,306.2491149902142,300.3814086913998,11891.997203852072,241.95608861925786
{32},401.97201538085005,252.0848846435805,447.8236389160438,350.47665405274495,349.343963623057,395.26522827145703,304.3634643554421,296.80792236327125,11682.578939815416,245.01397418692375
{33},401.97201538085005,252.0848846435805,447.8236389160438,350.47665405274495,349.343963623057,395.26522827145703,304.3634643554421,296.80792236327125,11682.578939815416,245.01397418692375
{34},402.07830810545545,253.2378234863606,443.83343505862683,352.7074279785294,344.3966064453263,393.56195068356027,303.34252929684385,294.09591674803386,11547.537717406492,247.2284195756664
{35},402.0393981933435,254.63456726077635,438.9202575683954,355.1815490722826,338.4983215332203,391.1850280761351,302.1669616698878,290.83627319334335,11381.14684015038,249.85684904795332
{36},402.0393981933435,254.63456726077635,438.9202575683954,355.1815490722826,338.4983215332203,391.1850280761351,302.1669616698878,290.83627319334335,11381.14684015038,249.85684904795332
{37},401.70840454099357,255.95950317387073,433.8717956543394,357.20849609377234,332.63375854494416,388.6787719726136,301.03945922847294,287.5100708007588,11221.902308433346,252.37670232835757
{38},401.70840454099357,255.95950317387073,433.8717956543394,357.20849609377234,332.63375854494416,388.6787719726136,301.03945922847294,287.5100708007588,11221.902308433346,252.37670232835757
{39},401.3409423827979,256.997863769557,429.41851806643155,358.77420043946756,327.6756896972799,386.1761169433344,300.07785034177056,284.55874633787545,11087.550850282947,254.57713511549798
{40},401.3409423827979,256.997863769557,429.41851806643155,358.77420043946756,327.6756896972799,386.1761169433344,300.07785034177056,284.55874633787545,11087.550850282947,254.57713511549798
{41},401.16931152341937,257.8814392090136,425.1029052734679,360.05148315431586,323.00317382814353,383.5027770995796,299.43093872067544,281.5122680663889,10963.09383737106,256.8160397871855
{42},401.16931152341937,257.8814392090136,425.1029052734679,360.05148315431586,323.00317382814353,383.5027770995796,299.43093872067544,281.5122680663889,10963.09383737106,256.8160397871855
{43},400.9540405273543,258.7839355468595,420.47402954100215,361.2453613281158,318.13238525389727,380.2207336425913,298.83111572267126,278.05661010743216,10830.87802068099,259.2137989412308
{44},400.9540405273543,258.7839355468595,420.47402954100215,361.2453613281158,318.13238525389727,380.2207336425913,298.83111572267126,278.05661010743216,10830.87802068099,259.2137989412308
{45},400.7423095703193,259.57760620116267,416.26397705077375,362.0226440429632,313.8050537109312,377.1451721191491,298.5499267578217,274.860168457038,10708.510404320528,261.384520182058
{46},400.7423095703193,259.57760620116267,416.26397705077375,362.0226440429632,313.8050537109312,377.1451721191491,298.5499267578217,274.860168457038,10708.510404320528,261.384520182058
{47},400.54812622069716,260.26004028321046,411.8388977050835,362.66152954102,309.4680175781306,373.6129760742117,298.33578491210255,271.40109252929136,10588.960787148964,263.7079923649835
{48},400.54812622069716,260.26004028321046,411.8388977050835,362.66152954102,309.4680175781306,373.6129760742117,298.33578491210255,271.40109252929136,10588.960787148964,263.7079923649835
