Image,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y,area,angle_from_180
{1},140.83235168451847,40.495449066105486,300.51971435541134,51.10491943364535,294.0737304687987,208.003112793022,137.5584869385361,200.56831359857708,25100.61554114199,183.80108861724736
{2},147.05488586425133,35.98717498778553,306.228424072258,50.77302169800454,296.07531738281955,207.08413696289864,140.20806884766074,195.8772735595663,25014.538316273327,185.3070534345573
{3},157.48692321773055,34.450717925973436,314.4665832519048,53.09272766117196,300.0708312988674,207.55334472661016,146.16688537602417,192.33613586421757,24493.49455409787,186.7724029456145
{4},157.48692321773055,34.450717925973436,314.4665832519048,53.09272766117196,300.0708312988674,207.55334472661016,146.16688537602417,192.33613586421757,24493.49455409787,186.7724029456145
{5},169.40614318847204,34.498847961419905,323.45761108397994,57.13598251343114,304.50601196289176,209.03395080566554,153.14390563964807,189.49658203125028,23803.80986063596,188.35951761015673
{6},182.17921447754617,35.11018753052741,332.8836364746228,61.72773361205091,309.4495239257712,210.80970764158772,160.86444091795184,186.90219116212188,23077.34102830448,190.01633003210196
{7},182.17921447754617,35.11018753052741,332.8836364746228,61.72773361205091,309.4495239257712,210.80970764158772,160.86444091795184,186.90219116212188,23077.34102830448,190.01633003210196
{8},195.2145233153927,35.95390319818731,342.5017089843193,66.92528533939259,314.2957763672249,212.91078186040713,168.79956054693199,184.36770629878896,22361.49032684366,191.87508115708994
{9},208.31127929687153,37.162120819086255,352.1687316894435,72.22447967529892,319.2554321289108,215.12075805664784,176.972534179697,182.09333801268926,21683.491984451124,193.69762857888202
{10},208.31127929687153,37.162120819086255,352.1687316894435,72.22447967529892,319.2554321289108,215.12075805664784,176.972534179697,182.09333801268926,21683.491984451124,193.69762857888202
{11},220.73748779295002,38.67156219479187,361.16061401363993,77.85745239259637,323.83477783204916,217.56787109378104,184.69401550296257,180.13980102537136,21057.128040196752,195.59206938115105
{12},233.5586700440111,40.54052734387426,370.407226562627,83.83218383782378,328.49896240227974,220.14541625964438,192.8033447264395,178.40376281744906,20438.589412653382,197.55462091578434
{13},233.5586700440111,40.54052734387426,370.407226562627,83.83218383782378,328.49896240227974,220.14541625964438,192.8033447264395,178.40376281744906,20438.589412653382,197.55462091578434
{14},245.7207946777167,42.723018646203634,378.9844360351209,90.13803863527093,332.6878967285306,223.0200347900701,200.3991546631206,176.92182922361576,19872.864065518763,199.5854885630602
{15},257.88031005861694,45.29459381108814,387.4717712402891,96.68041229245652,336.9253540038838,226.05802917475322,208.18252563471708,175.75392150881066,19329.654485168132,201.6293972607599
{16},257.88031005861694,45.29459381108814,387.4717712402891,96.68041229245652,336.9253540038838,226.05802917475322,208.18252563471708,175.75392150881066,19329.654485168132,201.6293972607599
{17},269.37579345703955,48.18796539308753,395.2845764160365,103.44591522215973,340.58932495116386,229.22015380857331,215.42933654783025,174.86734008789918,18822.879780182542,203.69536730653556
{18},280.8446960449452,51.503105163640576,402.9916992188185,110.41258239743674,344.31750488278857,232.60072326653307,222.78221130364216,174.23097229006356,18343.12074148703,205.74724367395976
{19},280.8446960449452,51.503105163640576,402.9916992188185,110.41258239743674,344.31750488278857,232.60072326653307,222.78221130364216,174.23097229006356,18343.12074148703,205.74724367395976
{20},291.49703979490863,54.876754760699505,409.9236755370672,117.59191131593101,347.3222351074342,235.93658447269627,229.52644348148618,173.84069824217465,17901.39581637461,207.9043380606537
{21},302.14825439451187,58.7627182006113,416.6940307616456,124.92055511476579,350.42590332033205,239.52986145026898,236.43519592292685,173.73281860349513,17470.707969645293,210.0093036303153
{22},302.14825439451187,58.7627182006113,416.6940307616456,124.92055511476579,350.42590332033205,239.52986145026898,236.43519592292685,173.73281860349513,17470.707969645293,210.0093036303153
{23},312.0538024902443,62.73328018192833,422.7155761719199,132.40235900877883,352.9130554199115,243.0962677001495,242.64692687983793,173.73654174805722,17083.301685937982,212.1931930684794
{24},321.7351684570326,67.08546447754635,428.58807373047614,139.93876647949074,355.34820556640466,246.77790832518724,249.03849792479426,174.07344055175983,16705.536067318855,214.28652864893326
{25},321.7351684570326,67.08546447754635,428.58807373047614,139.93876647949074,355.34820556640466,246.77790832518724,249.03849792479426,174.07344055175983,16705.536067318855,214.28652864893326
{26},330.7402648925809,71.47286224367114,433.6520385742383,147.50251770019233,357.2200012207001,250.39758300779195,254.79429626463022,174.45616149902617,16357.898490061449,216.45642589580336
{27},339.60144042967835,76.35276031485874,438.64089965812167,155.32511901856375,359.02920532227444,254.13143920906612,260.633850097738,175.26376342772514,16016.610700279474,218.56825484731104
{28},339.60144042967835,76.35276031485874,438.64089965812167,155.32511901856375,359.02920532227444,254.13143920906612,260.633850097738,175.26376342772514,16016.610700279474,218.56825484731104
{29},347.52706909179733,80.9496688842836,442.6348266601597,162.77023315429662,360.2325134277339,257.6730346679631,265.6505126953045,175.87448120117247,15721.87947445429,220.7051890090996
{30},355.29394531250097,85.92114257815193,446.46130371096774,170.36860656738173,361.4741516113272,261.34115600583254,270.8229980468452,176.89443969726673,15425.402466514912,222.80864831925382
{31},355.29394531250097,85.92114257815193,446.46130371096774,170.36860656738173,361.4741516113272,261.34115600583254,270.8229980468452,176.89443969726673,15425.402466514912,222.80864831925382
